Rank;Sourceid;Title;Type;Issn;SJR;SJR Best Quartile;H index;Total Docs. (2023);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;%Female;Overton;SDG;Country;Region;Publisher;Coverage;Categories;Areas
1;11300153736;"Annual Review of Pathology: Mechanisms of Disease";journal;"15534006, 15534014";11,748;Q1;147;22;63;3087;2361;63;28,74;140,32;33,33;0;15;United States;Northern America;"Annual Reviews Inc.";"2006-2023";"Medicine (miscellaneous) (Q1); Pathology and Forensic Medicine (Q1); Plant Science (Q1)";"Agricultural and Biological Sciences; Medicine"
2;16721;"Annual Review of Plant Biology";journal;"15452123, 15435008";7,555;Q1;298;28;109;4809;2473;104;18,76;171,75;37,89;0;9;United States;Northern America;"Annual Reviews Inc.";"1996-2023";"Cell Biology (Q1); Molecular Biology (Q1); Physiology (Q1); Plant Science (Q1)";"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology"
3;21100873499;"Nature Sustainability";journal;"23989629";7,366;Q1;115;250;516;9291;10802;379;18,52;37,16;34,58;34;156;United Kingdom;Western Europe;"Nature Publishing Group";"2018-2023";"Ecology (Q1); Food Science (Q1); Geography, Planning and Development (Q1); Global and Planetary Change (Q1); Management, Monitoring, Policy and Law (Q1); Nature and Landscape Conservation (Q1); Renewable Energy, Sustainability and the Environment (Q1); Urban Studies (Q1)";"Agricultural and Biological Sciences; Energy; Environmental Science; Social Sciences"
4;40944;"Genome Biology";journal;"14747596";7,197;Q1;301;288;896;20374;10700;865;9,65;70,74;39,38;0;56;United Kingdom;Western Europe;"BioMed Central Ltd";"2000-2023";"Cell Biology (Q1); Ecology, Evolution, Behavior and Systematics (Q1); Genetics (Q1)";"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology"
5;18567;"Fungal Diversity";journal;"15602745, 18789129";6,787;Q1;123;18;67;5667;1404;64;20,37;314,83;42,86;0;2;Netherlands;Western Europe;"Springer Nature";"1998-2023";"Ecology (Q1); Ecology, Evolution, Behavior and Systematics (Q1); Plant Science (Q1)";"Agricultural and Biological Sciences; Environmental Science"
6;17600155011;"Molecular Plant";journal;"16742052, 17529867";5,967;Q1;162;181;553;10789;9110;442;10,41;59,61;38,52;0;34;United States;Northern America;"Elsevier";"2008-2023";"Molecular Biology (Q1); Plant Science (Q1)";"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology"
7;19133;"Annual Review of Entomology";journal;"00664170, 15454487";5,909;Q1;230;24;75;3272;1650;72;15,14;136,33;30,51;1;11;United States;Northern America;"Annual Reviews Inc.";"1961-1963, 1966-1967, 1969-1979, 1981-2023";"Ecology, Evolution, Behavior and Systematics (Q1); Insect Science (Q1)";"Agricultural and Biological Sciences"
8;110325;"Annual Review of Ecology, Evolution, and Systematics";book series;"1543592X";5,403;Q1;247;22;74;2835;962;74;10,71;128,86;50,00;0;11;United States;Northern America;"Annual Reviews Inc.";"2003-2022";"Ecology (Q1); Ecology, Evolution, Behavior and Systematics (Q1)";"Agricultural and Biological Sciences; Environmental Science"
9;4700152228;"Molecular Systems Biology";journal;"17444292";5,305;Q1;172;56;239;4036;2142;220;7,93;72,07;40,08;0;14;United Kingdom;Western Europe;"Springer Nature";"2005-2023";"Agricultural and Biological Sciences (miscellaneous) (Q1); Applied Mathematics (Q1); Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Computational Theory and Mathematics (Q1); Immunology and Microbiology (miscellaneous)  (Q1); Information Systems (Q1); Medicine (miscellaneous) (Q1)";"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology; Computer Science; Immunology and Microbiology; Mathematics; Medicine"
10;21100447118;"Mycosphere";journal;"20777019, 20777000";5,204;Q1;40;14;59;3439;910;58;10,23;245,64;39,38;0;2;China;Asiatic Region;"Zhongkai University";"2014-2023";"Ecology, Evolution, Behavior and Systematics (Q1); Plant Science (Q1)";"Agricultural and Biological Sciences"
11;14365;"Trends in Ecology and Evolution";journal;"01695347, 18728383";5,165;Q1;381;161;425;8938;4514;332;10,25;55,52;39,57;8;61;United Kingdom;Western Europe;"Elsevier Ltd";"1986-2023";"Ecology, Evolution, Behavior and Systematics (Q1)";"Agricultural and Biological Sciences"
12;21100416121;"Nature Plants";journal;"2055026X, 20550278";5,134;Q1;131;274;686;10476;6409;444;8,57;38,23;35,81;1;24;United Kingdom;Western Europe;"Nature Research";"2010, 2015-2023";"Plant Science (Q1)";"Agricultural and Biological Sciences"
13;21100831440;"Nature Ecology and Evolution";journal;"2397334X";5,056;Q1;118;296;810;13696;7470;566;7,84;46,27;38,98;7;71;United States;Northern America;"Nature Publishing Group";"2016-2023";"Ecology (Q1); Ecology, Evolution, Behavior and Systematics (Q1)";"Agricultural and Biological Sciences; Environmental Science"
14;21101041558;"Nature Food";journal;"26621355";4,891;Q1;57;223;615;5851;6699;317;10,33;26,24;47,92;20;119;United Kingdom;Western Europe;"Springer Nature";"2020-2023";"Agronomy and Crop Science (Q1); Animal Science and Zoology (Q1); Food Science (Q1)";"Agricultural and Biological Sciences"
15;17269;"Studies in Mycology";journal;"01660616";4,821;Q1;118;11;28;2436;540;27;15,23;221,45;38,00;0;1;Netherlands;Western Europe;"Westerdijk Fungal Biodiversity Institute";"1996, 1998-2000, 2002-2021";"Agricultural and Biological Sciences (miscellaneous) (Q1); Plant Science (Q1)";"Agricultural and Biological Sciences"
16;14599;"Ecology Letters";journal;"1461023X, 14610248";4,497;Q1;313;183;638;14175;5567;300;7,63;77,46;32,73;1;57;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1998-2023";"Ecology, Evolution, Behavior and Systematics (Q1)";"Agricultural and Biological Sciences"
17;9500153903;"Biological Reviews";journal;"1469185X, 14647931";4,347;Q1;199;116;322;24582;4338;322;12,47;211,91;37,74;3;45;United States;Northern America;"Wiley-Blackwell";"1924-2023";"Agricultural and Biological Sciences (miscellaneous) (Q1); Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1)";"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology"
18;12503;"Remote Sensing of Environment";journal;"00344257";4,310;Q1;350;431;1433;32671;19566;1423;11,99;75,80;31,14;4;165;United States;Northern America;"Elsevier Inc.";"1969-2023";"Computers in Earth Sciences (Q1); Geology (Q1); Soil Science (Q1)";"Agricultural and Biological Sciences; Earth and Planetary Sciences"
19;12216;"Molecular Biology and Evolution";journal;"15371719, 07374038";4,061;Q1;245;280;1048;22808;10469;1025;10,73;81,46;38,15;2;52;United Kingdom;Western Europe;"Oxford University Press";"1983-2023";"Ecology, Evolution, Behavior and Systematics (Q1); Genetics (Q1); Molecular Biology (Q1)";"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology"
20;12977;"PLoS Biology";journal;"15449173, 15457885";3,822;Q1;305;471;1083;28978;8954;1064;6,34;61,52;40,54;4;87;United States;Northern America;"Public Library of Science";"2003-2023";"Agricultural and Biological Sciences (miscellaneous) (Q1); Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Immunology and Microbiology (miscellaneous)  (Q1); Neuroscience (miscellaneous) (Q1)";"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology; Immunology and Microbiology; Neuroscience"
21;5800173382;"ISME Journal";journal;"17517362, 17517370";3,692;Q1;230;226;783;16228;9197;777;11,23;71,81;38,97;0;60;United Kingdom;Western Europe;"Oxford University Press";"2007-2023";"Ecology, Evolution, Behavior and Systematics (Q1); Microbiology (Q1)";"Agricultural and Biological Sciences; Immunology and Microbiology"
22;16594;"Plant Cell";journal;"1532298X, 10404651";3,616;Q1;397;305;950;18558;7236;767;7,19;60,85;38,33;0;21;United States;Northern America;"American Society of Plant Biologists";"1989-2023";"Cell Biology (Q1); Plant Science (Q1)";"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology"
23;14802;"Soil Biology and Biochemistry";journal;"00380717";3,453;Q1;266;256;921;18891;9993;916;10,47;73,79;39,41;2;95;United Kingdom;Western Europe;"Elsevier Ltd";"1933, 1969-2023";"Microbiology (Q1); Soil Science (Q1)";"Agricultural and Biological Sciences; Immunology and Microbiology"
24;21101040628;"Evolution Letters";journal;"20563744";3,373;Q1;33;18;135;1227;574;19;3,51;68,17;42,31;0;4;United Kingdom;Western Europe;"Oxford University Press";"2017-2023";"Ecology, Evolution, Behavior and Systematics (Q1); Genetics (Q1)";"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology"
25;15049;"Biometrika";journal;"14643510, 00063444";3,358;Q1;132;52;220;1791;775;213;3,07;34,44;27,20;1;5;United Kingdom;Western Europe;"Oxford University Press";"1908-1913, 1945, 1947-1951, 1965-2023";"Agricultural and Biological Sciences (miscellaneous) (Q1); Applied Mathematics (Q1); Mathematics (miscellaneous) (Q1); Statistics and Probability (Q1); Statistics, Probability and Uncertainty (Q1)";"Agricultural and Biological Sciences; Decision Sciences; Mathematics"
26;144675;"Frontiers in Ecology and the Environment";journal;"15409295, 15409309";3,291;Q1;198;102;340;2313;1941;185;5,45;22,68;46,03;4;37;United States;Northern America;"Wiley-Blackwell";"2003-2023";"Ecology (Q1); Ecology, Evolution, Behavior and Systematics (Q1)";"Agricultural and Biological Sciences; Environmental Science"
27;17809;"Trends in Plant Science";journal;"13601385, 18784372";3,204;Q1;310;203;465;11056;5544;446;10,84;54,46;31,77;0;47;United Kingdom;Western Europe;"Elsevier Ltd";"1996-2023";"Plant Science (Q1)";"Agricultural and Biological Sciences"
28;19900191736;"Conservation Letters";journal;"1755263X";3,176;Q1;105;59;220;2444;1675;87;7,03;41,42;43,35;4;53;United States;Northern America;"John Wiley & Sons Inc.";"2008, 2010-2023";"Ecology (Q1); Ecology, Evolution, Behavior and Systematics (Q1); Nature and Landscape Conservation (Q1)";"Agricultural and Biological Sciences; Environmental Science"
29;21101027216;"Plant Communications";journal;"25903462";3,123;Q1;36;148;199;11612;2010;194;9,78;78,46;39,00;0;31;United States;Northern America;"Cell Press";"2020-2023";"Biochemistry (Q1); Biotechnology (Q1); Cell Biology (Q1); Molecular Biology (Q1); Plant Science (Q1)";"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology"
30;14305;"Systematic Biology";journal;"1076836X, 10635157";3,098;Q1;201;84;267;6800;1754;267;6,31;80,95;31,22;0;12;United Kingdom;Western Europe;"Oxford University Press";"1952, 1968-1975, 1977-1978, 1980-1982, 1984, 1986, 1988-1989, 1991-2023";"Ecology, Evolution, Behavior and Systematics (Q1); Genetics (Q1)";"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology"
31;17924;"Current Opinion in Plant Biology";journal;"18790356, 13695266";3,044;Q1;234;108;343;7112;3042;326;8,32;65,85;44,67;0;11;United Kingdom;Western Europe;"Elsevier Ltd";"1998-2023";"Plant Science (Q1)";"Agricultural and Biological Sciences"
32;19988;"Persoonia: Molecular Phylogeny and Evolution of Fungi";journal;"00315850";3,037;Q1;82;13;54;1960;521;54;9,61;150,77;32,50;0;0;Netherlands;Western Europe;"National Herbarium Nederland";"1996-2000, 2002-2023";"Ecology, Evolution, Behavior and Systematics (Q1); Plant Science (Q1)";"Agricultural and Biological Sciences"
33;130165;"Journal of Integrative Plant Biology";journal;"16729072, 17447909";3,028;Q1;109;190;448;14579;4739;423;10,39;76,73;39,64;0;30;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"2005-2023";"Biochemistry (Q1); Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Plant Science (Q1)";"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology"
34;19908;"New Phytologist";journal;"14698137, 0028646X";3,007;Q1;305;797;2292;55838;20744;1991;8,56;70,06;39,78;4;140;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1902-2023";"Physiology (Q1); Plant Science (Q1)";"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology"
35;22475;"Trends in Food Science and Technology";journal;"09242244";2,999;Q1;251;281;1276;30166;24366;1193;17,47;107,35;42,32;2;149;United Kingdom;Western Europe;"Elsevier Ltd";"1990-2023";"Biotechnology (Q1); Food Science (Q1)";"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology"
36;16592;"Plant Biotechnology Journal";journal;"14677644, 14677652";2,998;Q1;152;272;698;15671;7590;693;9,98;57,61;38,33;2;65;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"2003-2023";"Agronomy and Crop Science (Q1); Biotechnology (Q1); Plant Science (Q1)";"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology"
37;15537;"Current Biology";journal;"18790445, 09609822";2,982;Q1;361;867;2759;42659;14075;2060;4,65;49,20;37,10;6;117;United States;Northern America;"Cell Press";"1991-2023";"Agricultural and Biological Sciences (miscellaneous) (Q1); Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Neuroscience (miscellaneous) (Q1)";"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology; Neuroscience"
38;21101021575;"Journal of Bioresources and Bioproducts";journal;"23699698";2,880;Q1;39;39;89;2470;1909;89;23,39;63,33;34,76;0;18;Canada;Northern America;"KeAi Communications Co.";"2019-2023";"Biochemistry (Q1); Biomaterials (Q1); Forestry (Q1); Materials Chemistry (Q1); Organic Chemistry (Q1)";"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology; Chemistry; Materials Science"
39;21101049099;"Biochar";journal;"25247867";2,855;Q1;34;90;157;7768;2502;157;14,15;86,31;36,25;0;60;Germany;Western Europe;"Springer Science and Business Media B.V.";"2019-2023";"Biomaterials (Q1); Environmental Science (miscellaneous) (Q1); Pollution (Q1); Soil Science (Q1)";"Agricultural and Biological Sciences; Environmental Science; Materials Science"
40;16715;"Annual Review of Phytopathology";journal;"00664286, 15452107";2,760;Q1;184;18;53;2606;537;53;9,56;144,78;33,33;0;10;United States;Northern America;"Annual Reviews Inc.";"1973, 1981, 1987, 1989-2023";"Medicine (miscellaneous) (Q1); Plant Science (Q1)";"Agricultural and Biological Sciences; Medicine"
41;22044;"Global Ecology and Biogeography";journal;"14668238, 1466822X";2,744;Q1;184;166;535;12492;3839;510;6,51;75,25;33,33;0;79;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1998-2023";"Ecology (Q1); Ecology, Evolution, Behavior and Systematics (Q1); Global and Planetary Change (Q1)";"Agricultural and Biological Sciences; Environmental Science"
42;4900152301;"Comprehensive Reviews in Food Science and Food Safety";journal;"15414337";2,740;Q1;166;170;526;29119;8903;515;14,41;171,29;46,85;1;72;United States;Northern America;"Wiley-Blackwell";"2002-2003, 2005-2023";"Food Science (Q1)";"Agricultural and Biological Sciences"
43;22597;"Food Hydrocolloids";journal;"0268005X";2,717;Q1;211;1016;2403;55349;31248;2402;12,49;54,48;45,88;1;88;Netherlands;Western Europe;"Elsevier B.V.";"1986, 1993, 1995-2024";"Chemical Engineering (miscellaneous) (Q1); Chemistry (miscellaneous) (Q1); Food Science (Q1)";"Agricultural and Biological Sciences; Chemical Engineering; Chemistry"
44;64345;"Ecological Monographs";journal;"00129615";2,697;Q1;173;37;131;4278;896;130;6,02;115,62;30,21;0;17;United States;Northern America;"John Wiley & Sons Inc.";"1974-1977, 1979-1980, 1987-2023";"Ecology, Evolution, Behavior and Systematics (Q1)";"Agricultural and Biological Sciences"
45;21100330722;"Annual Review of Animal Biosciences";journal;"21658110, 21658102";2,665;Q1;60;16;63;1926;640;60;8,82;120,38;38,64;1;8;United States;Northern America;"Annual Reviews Inc.";"2013-2023";"Animal Science and Zoology (Q1); Biotechnology (Q1); Genetics (Q1); Veterinary (miscellaneous) (Q1)";"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology; Veterinary"
46;21100217611;"Methods in Ecology and Evolution";journal;"2041210X";2,643;Q1;161;248;624;13585;4667;616;6,65;54,78;31,53;0;49;United States;Northern America;"John Wiley & Sons Inc.";"2011-2023";"Ecological Modeling (Q1); Ecology, Evolution, Behavior and Systematics (Q1)";"Agricultural and Biological Sciences; Environmental Science"
47;21100218328;"Global Food Security";journal;"22119124";2,598;Q1;81;60;311;3823;3534;307;10,77;63,72;42,64;13;54;Netherlands;Western Europe;"Elsevier B.V.";"2012-2023";"Ecology (Q1); Food Science (Q1); Safety Research (Q1); Safety, Risk, Reliability and Quality (Q1)";"Agricultural and Biological Sciences; Engineering; Environmental Science; Social Sciences"
48;19900191716;"Reviews in Aquaculture";journal;"17535131, 17535123";2,573;Q1;86;131;339;21570;4486;327;11,78;164,66;33,54;14;102;Australia;Pacific Region;"Blackwell Publishing Asia";"2009-2023";"Aquatic Science (Q1); Ecology (Q1); Management, Monitoring, Policy and Law (Q1)";"Agricultural and Biological Sciences; Environmental Science"
49;20276;"Ecography";journal;"16000587, 09067590";2,540;Q1;153;121;455;9758;2921;451;5,82;80,64;31,43;1;56;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1978-2023";"Ecology, Evolution, Behavior and Systematics (Q1)";"Agricultural and Biological Sciences"
50;13093;"Quarterly Review of Biology";journal;"15397718, 00335770";2,479;Q1;87;5;19;579;118;18;3,25;115,80;21,05;0;1;United States;Northern America;"University of Chicago";"1945-2023";"Agricultural and Biological Sciences (miscellaneous) (Q1)";"Agricultural and Biological Sciences"
51;11700154306;"Molecular Ecology Resources";journal;"1755098X, 17550998";2,465;Q1;165;184;576;13950;4622;551;6,62;75,82;37,58;1;64;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"2008-2023";"Biotechnology (Q1); Ecology, Evolution, Behavior and Systematics (Q1); Genetics (Q1)";"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology"
52;21100981277;"Wiley Interdisciplinary Reviews: Water";journal;"20491948";2,405;Q1;67;73;192;8667;1843;189;8,59;118,73;47,83;5;53;United States;Northern America;"John Wiley & Sons Inc.";"2014-2023";"Aquatic Science (Q1); Ecology (Q1); Management, Monitoring, Policy and Law (Q1); Ocean Engineering (Q1); Oceanography (Q1); Water Science and Technology (Q1)";"Agricultural and Biological Sciences; Earth and Planetary Sciences; Engineering; Environmental Science"
53;21101170018;"Science of Remote Sensing";journal;"26660172";2,372;Q1;15;39;66;3014;529;65;5,73;77,28;26,25;0;16;Netherlands;Western Europe;"Elsevier B.V.";"2020-2023";"Earth and Planetary Sciences (miscellaneous) (Q1); Forestry (Q1)";"Agricultural and Biological Sciences; Earth and Planetary Sciences"
54;13768;"BioScience";journal;"15253244, 00063568";2,370;Q1;242;100;391;5538;2350;298;5,31;55,38;40,00;4;43;United States;Northern America;"Oxford University Press";"1972-1979, 1983-1986, 1988-2023";"Agricultural and Biological Sciences (miscellaneous) (Q1)";"Agricultural and Biological Sciences"
55;21100869015;"Current Forestry Reports";journal;"21986436";2,316;Q1;44;32;62;3874;690;62;9,13;121,06;32,29;0;26;Switzerland;Western Europe;"Springer International Publishing AG";"2015-2023";"Ecology (Q1); Ecology, Evolution, Behavior and Systematics (Q1); Forestry (Q1); Nature and Landscape Conservation (Q1)";"Agricultural and Biological Sciences; Environmental Science"
56;21100202730;"Advances in Nutrition";journal;"21565376, 21618313";2,249;Q1;132;116;498;11116;4213;438;7,53;95,83;58,06;5;59;United States;Northern America;"Elsevier B.V.";"2010-2023";"Food Science (Q1); Medicine (miscellaneous) (Q1); Nutrition and Dietetics (Q1)";"Agricultural and Biological Sciences; Medicine; Nursing"
57;21100196101;"Annual review of food science and technology";journal;"19411413, 19411421";2,233;Q1;94;24;64;3341;886;63;12,06;139,21;31,40;0;7;United States;Northern America;"Annual Reviews Inc.";"2010-2023";"Food Science (Q1)";"Agricultural and Biological Sciences"
58;4000151808;"PLoS Genetics";journal;"15537390, 15537404";2,219;Q1;271;413;1605;29196;6805;1590;3,94;70,69;42,98;1;75;United States;Northern America;"Public Library of Science";"2005-2023";"Cancer Research (Q1); Ecology, Evolution, Behavior and Systematics (Q1); Genetics (Q1); Genetics (clinical) (Q1); Molecular Biology (Q1)";"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology; Medicine"
59;16612;"Plant Journal";journal;"1365313X, 09607412";2,176;Q1;314;456;1408;33650;9835;1339;6,57;73,79;40,43;0;67;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1991-2023";"Cell Biology (Q1); Genetics (Q1); Plant Science (Q1)";"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology"
60;17822;"Conservation Biology";journal;"15231739, 08888892";2,168;Q1;249;183;525;11990;3129;476;5,59;65,52;40,72;4;139;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1987-2023";"Ecology (Q1); Ecology, Evolution, Behavior and Systematics (Q1); Medicine (miscellaneous) (Q1); Nature and Landscape Conservation (Q1)";"Agricultural and Biological Sciences; Environmental Science; Medicine"
61;21101047720;"Limnology And Oceanography Letters";journal;"23782242";2,164;Q1;41;97;143;5976;863;14;3,93;61,61;49,45;0;31;United States;Northern America;"John Wiley & Sons Inc.";"2016-2023";"Aquatic Science (Q1); Oceanography (Q1)";"Agricultural and Biological Sciences; Earth and Planetary Sciences"
62;29602;"Journal of Ecology";journal;"00220477, 13652745";2,144;Q1;212;194;719;16584;4365;714;5,72;85,48;34,49;0;89;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1976, 1979-2023";"Ecology (Q1); Ecology, Evolution, Behavior and Systematics (Q1); Plant Science (Q1)";"Agricultural and Biological Sciences; Environmental Science"
63;69623;"American Journal of Agricultural Economics";journal;"14678276, 00029092";2,136;Q1;133;82;262;5007;1313;248;5,58;61,06;28,57;11;50;United States;Northern America;"John Wiley & Sons Inc.";"1919-2023";"Agricultural and Biological Sciences (miscellaneous) (Q1); Economics and Econometrics (Q1)";"Agricultural and Biological Sciences; Economics, Econometrics and Finance"
64;21594;"Systematic Entomology";journal;"13653113, 03076970";2,123;Q1;77;41;162;3641;837;158;5,36;88,80;24,58;0;5;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1976-2023";"Ecology, Evolution, Behavior and Systematics (Q1); Insect Science (Q1)";"Agricultural and Biological Sciences"
65;35048;"Food Policy";journal;"03069192";2,116;Q1;135;117;379;8620;2760;376;7,35;73,68;38,00;11;92;United Kingdom;Western Europe;"Elsevier B.V.";"1975-2023";"Development (Q1); Economics and Econometrics (Q1); Food Science (Q1); Management, Monitoring, Policy and Law (Q1); Sociology and Political Science (Q1)";"Agricultural and Biological Sciences; Economics, Econometrics and Finance; Environmental Science; Social Sciences"
66;4400151713;"International Journal of Biological Sciences";journal;"14492288";2,114;Q1;118;321;978;26001;8903;970;8,20;81,00;41,12;0;225;Australia;Pacific Region;"Ivyspring International Publisher";"2005-2023";"Applied Microbiology and Biotechnology (Q1); Cell Biology (Q1); Developmental Biology (Q1); Ecology, Evolution, Behavior and Systematics (Q1); Molecular Biology (Q1)";"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology; Immunology and Microbiology"
67;21100218523;"Ecosystem Services";journal;"22120416";2,106;Q1;109;74;431;5927;3237;423;6,43;80,09;45,73;1;68;Netherlands;Western Europe;"Elsevier B.V.";"2012-2023";"Agricultural and Biological Sciences (miscellaneous) (Q1); Ecology (Q1); Geography, Planning and Development (Q1); Global and Planetary Change (Q1); Management, Monitoring, Policy and Law (Q1); Nature and Landscape Conservation (Q1)";"Agricultural and Biological Sciences; Environmental Science; Social Sciences"
68;16615;"Plant Physiology";journal;"00320889, 15322548";2,101;Q1;362;610;1669;37066;10065;1490;5,58;60,76;40,14;1;59;United States;Northern America;"American Society of Plant Biologists";"1965-1971, 1975, 1977-2023";"Genetics (Q1); Physiology (Q1); Plant Science (Q1)";"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology"
69;21100924827;"Communications Biology";journal;"23993642";2,090;Q1;73;1228;3341;84888;18119;3273;5,15;69,13;37,98;6;353;United States;Northern America;"Springer Nature";"2018-2023";"Agricultural and Biological Sciences (miscellaneous) (Q1); Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Medicine (miscellaneous) (Q1)";"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology; Medicine"
70;21100322090;"Reviews in Fisheries Science and Aquaculture";journal;"23308249, 23308257";2,085;Q1;82;35;82;4932;1032;78;9,02;140,91;37,01;3;22;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2014-2023";"Aquatic Science (Q1); Ecology, Evolution, Behavior and Systematics (Q1); Management, Monitoring, Policy and Law (Q1)";"Agricultural and Biological Sciences; Environmental Science"
71;21101151586;"Molecular Horticulture";journal;"27309401";2,057;Q1;10;28;43;2014;324;31;7,53;71,93;41,32;0;1;United Kingdom;Western Europe;"BioMed Central Ltd";"2021-2023";"Agronomy and Crop Science (Q1); Horticulture (Q1); Molecular Biology (Q1); Plant Science (Q1)";"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology"
72;21101043805;"Environmental DNA";journal;"26374943";2,043;Q1;36;127;251;9003;1917;245;7,13;70,89;40,20;3;61;United States;Northern America;"John Wiley & Sons Inc.";"2019-2023";"Ecology (Q1); Ecology, Evolution, Behavior and Systematics (Q1); Genetics (Q1)";"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology; Environmental Science"
73;13602;"Philosophical Transactions of the Royal Society B: Biological Sciences";journal;"09628436, 14712970";2,035;Q1;319;444;1216;38777;6941;1207;4,85;87,34;42,02;9;154;United Kingdom;Western Europe;"Royal Society Publishing";"1947, 1950-1951, 1970-2023";"Agricultural and Biological Sciences (miscellaneous) (Q1); Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1)";"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology"
74;13041;"Plant, Cell and Environment";journal;"01407791, 13653040";2,030;Q1;237;250;702;20453;5278;683;7,02;81,81;39,66;0;45;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1978-2023";"Physiology (Q1); Plant Science (Q1)";"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology"
75;21100843337;"SOIL";journal;"21993971, 2199398X";2,022;Q1;45;37;133;2684;922;133;6,09;72,54;41,23;0;23;Germany;Western Europe;"Copernicus GmbH";"2015-2023";"Soil Science (Q1)";"Agricultural and Biological Sciences"
76;21928;"Fish and Fisheries";journal;"14672960, 14672979";1,991;Q1;131;67;258;6227;1727;252;6,60;92,94;33,51;3;39;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"2001-2023";"Aquatic Science (Q1); Ecology, Evolution, Behavior and Systematics (Q1); Management, Monitoring, Policy and Law (Q1); Oceanography (Q1)";"Agricultural and Biological Sciences; Earth and Planetary Sciences; Environmental Science"
77;17244;"Biological Conservation";journal;"00063207";1,985;Q1;235;449;1157;33429;6777;1106;5,06;74,45;38,89;10;392;Netherlands;Western Europe;"Elsevier B.V.";"1968-2023";"Ecology, Evolution, Behavior and Systematics (Q1); Nature and Landscape Conservation (Q1)";"Agricultural and Biological Sciences; Environmental Science"
78;20308;"Ecology";journal;"00129658";1,945;Q1;334;314;871;15632;3807;750;3,90;49,78;38,52;5;116;United States;Northern America;"Wiley-Blackwell";"1973-1977, 1979-2023";"Ecology, Evolution, Behavior and Systematics (Q1)";"Agricultural and Biological Sciences"
79;19723;"Harmful Algae";journal;"18781470, 15689883";1,940;Q1;114;112;384;8587;2658;383;5,76;76,67;44,22;0;92;Netherlands;Western Europe;"Elsevier B.V.";"2002-2023";"Aquatic Science (Q1); Plant Science (Q1)";"Agricultural and Biological Sciences"
